id,title,overview,release_date,backdrop_path,belongs_to_collection,budget,genres,homepage,imdb_id,original_language,original_title,popularity,poster_path,production_companies,production_countries,revenue,runtime,spoken_languages,status,tagline,video,vote_average,vote_count
278,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,/kXfqcdQKsToO0OUXHcrrNCHDBzO.jpg,,,None,,,en,The Shawshank Redemption,135.479,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,None,None,,,None,,,false,8.704,25767
238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,,,None,,,en,The Godfather,209.87,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,None,None,,,None,,,false,8.695,19577
240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,,,None,,,en,The Godfather Part II,87.03,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,None,None,,,None,,,false,8.575,11828
424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,,,None,,,en,Schindler's List,92.869,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,None,None,,,None,,,false,8.565,15214
129,Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,/mSDsSDwaP3E7dEfUPWy4J0djt4O.jpg,,,None,,,ja,千と千尋の神隠し,214.154,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,None,None,,,None,,,false,8.54,15664
389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,/qqHQsStV6exghCM7zbObuYBiYxw.jpg,,,None,,,en,12 Angry Men,84.133,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,None,None,,,None,,,false,8.54,8114
19404,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,,,None,,,hi,दिलवाले दुल्हनिया ले जायेंगे,46.519,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,None,None,,,None,,,false,8.533,4355
155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,/dqK9Hag1054tghRQSqLSfrkvQnA.jpg,,,None,,,en,The Dark Knight,114.343,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,None,None,,,None,,,false,8.515,31603
496243,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019-05-30,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,,,None,,,ko,기생충,167.439,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,None,None,,,None,,,false,8.511,17265
497,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,/vxJ08SvwomfKbpboCWynC3uqUg4.jpg,,,None,,,en,The Green Mile,102.493,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,None,None,,,None,,,false,8.507,16598
372058,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016-08-26,/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg,,,None,,,ja,君の名は。,161.157,/q719jXXEzOoYaps6babgKnONONX.jpg,None,None,,,None,,,false,8.497,10821
680,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1994-09-10,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,,,None,,,en,Pulp Fiction,155.258,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,None,None,,,None,,,false,8.5,26777
122,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",2003-12-01,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,,,None,,,en,The Lord of the Rings: The Return of the King,141.463,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,None,None,,,None,,,false,8.477,23148
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,/qdIMHd4sEfJSckfVJfKQvisL02a.jpg,,,None,,,en,Forrest Gump,167.866,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,None,None,,,None,,,false,8.477,26307
